time,value,a,b,c,d
06_03_04_p,0.001052932,0.00 ,0.06 ,0.03 ,99.91 
06_03_10_p,0.001820674,0.00 ,0.08 ,0.08 ,99.84 
06_03_16_p,0.001204982,0.00 ,0.07 ,0.05 ,99.89 
06_03_22_p,0.00080533,0.00 ,0.02 ,0.05 ,99.93 
06_03_28_p,0.001390284,0.00 ,0.08 ,0.05 ,99.87 
06_03_34_p,0.00064291,0.00 ,0.05 ,0.01 ,99.94 
06_03_40_p,0.000666819,0.00 ,0.03 ,0.02 ,99.94 
06_03_46_p,0.00101476,0.00 ,0.05 ,0.05 ,99.91 
06_03_52_p,0.001099267,0.00 ,0.08 ,0.02 ,99.90 
06_03_58_p,0.001484386,0.00 ,0.05 ,0.08 ,99.87 
06_04_04_p,0.000638561,0.00 ,0.02 ,0.03 ,99.94 
06_04_10_p,0.000260964,0.00 ,0.01 ,0.01 ,99.98 
06_04_16_p,0.000938711,0.00 ,0.03 ,0.05 ,99.92 
06_04_22_p,0.000389842,0.00 ,0.01 ,0.02 ,99.97 
06_04_28_p,0.000781469,0.00 ,0.01 ,0.07 ,99.92 
06_04_34_p,0.000852004,0.00 ,0.02 ,0.06 ,99.92 
06_04_40_p,0.000845626,0.00 ,0.03 ,0.06 ,99.91 
06_04_46_p,0.000516447,0.00 ,0.01 ,0.03 ,99.95 
06_04_52_p,0.000991799,0.00 ,0.02 ,0.07 ,99.91 
06_04_58_p,0.001531182,0.00 ,0.02 ,0.11 ,99.86 
06_05_04_p,0.00101937,0.00 ,0.03 ,0.06 ,99.91 
06_05_10_p,0.00091335,0.00 ,0.01 ,0.07 ,99.92 
06_05_16_p,0.000355133,0.00 ,0.01 ,0.02 ,99.97 
06_05_22_p,0.000918767,0.00 ,0.01 ,0.07 ,99.92 
06_05_28_p,0.000848312,0.01 ,0.02 ,0.06 ,99.91 
06_05_34_p,0.000650894,0.00 ,0.02 ,0.03 ,99.94 
06_05_40_p,0.000551479,0.00 ,0.02 ,0.02 ,99.95 
06_05_46_p,0.000644596,0.00 ,0.05 ,0.01 ,99.94 
06_05_52_p,0.000791658,0.01 ,0.03 ,0.05 ,99.91 
06_05_58_p,0,0.00 ,0.00 ,0.00 ,100.00 
06_06_04_p,0.000108242,0.00 ,0.01 ,0.00 ,99.99 
06_06_10_p,0.001338343,0.01 ,0.00 ,0.11 ,99.87 
06_06_16_p,0.003979795,0.00 ,0.05 ,0.35 ,99.60 
06_06_22_p,0.005819372,0.00 ,0.17 ,0.39 ,99.44 
06_06_28_p,0.008741573,0.01 ,0.23 ,0.59 ,99.17 
06_06_34_p,0.017679208,0.02 ,0.47 ,1.21 ,98.31 
06_06_40_p,0.02486863,0.05 ,1.00 ,1.32 ,97.63 
06_06_46_p,0.032995532,0.02 ,1.50 ,1.60 ,96.87 
06_06_52_p,0.043936745,0.07 ,1.80 ,2.36 ,95.78 
06_06_58_p,0.053909126,0.08 ,2.63 ,2.43 ,94.86 
06_07_04_p,0.067575551,0.05 ,3.42 ,3.04 ,93.50 
06_07_10_p,0.08588604,0.05 ,4.07 ,4.08 ,91.81 
06_07_16_p,0.097304309,0.09 ,4.87 ,4.38 ,90.66 
06_07_22_p,0.110312374,0.10 ,5.80 ,4.80 ,89.30 
06_07_28_p,0.120881018,0.21 ,6.22 ,5.13 ,88.44 
06_07_34_p,0.12613902,0.18 ,6.53 ,5.59 ,87.69 
06_07_40_p,0.138941075,0.11 ,6.84 ,6.43 ,86.61 
06_07_46_p,0.149144499,0.15 ,7.60 ,6.69 ,85.55 
06_07_52_p,0.15471762,0.16 ,8.13 ,6.71 ,85.00 
06_07_58_p,0.158513121,0.15 ,8.47 ,6.74 ,84.64 
06_08_04_p,0.162714228,0.13 ,8.81 ,6.70 ,84.37 
06_08_10_p,0.160832114,0.16 ,8.95 ,6.52 ,84.38 
06_08_16_p,0.156753068,0.18 ,8.22 ,6.59 ,85.00 
06_08_22_p,0.154674206,0.16 ,8.73 ,5.96 ,85.15 
06_08_28_p,0.150111862,0.14 ,8.69 ,5.58 ,85.59 
06_08_34_p,0.143997716,0.14 ,8.13 ,5.45 ,86.28 
06_08_40_p,0.13465602,0.09 ,7.35 ,5.39 ,87.17 
06_08_46_p,0.125165024,0.11 ,6.46 ,5.34 ,88.08 
06_08_52_p,0.117577641,0.10 ,6.16 ,4.84 ,88.90 
06_08_58_p,0.109617809,0.10 ,5.69 ,4.56 ,89.64 
06_09_04_p,0.096205291,0.08 ,4.17 ,4.88 ,90.87 
06_09_10_p,0.087668251,0.08 ,4.13 ,4.14 ,91.66 
06_09_16_p,0.088093434,0.08 ,4.18 ,4.20 ,91.54 
06_09_22_p,0.088442473,0.10 ,4.06 ,4.32 ,91.52 
06_09_28_p,0.086899384,0.08 ,3.84 ,4.41 ,91.66 
06_09_34_p,0.088882259,0.11 ,3.76 ,4.64 ,91.48 
06_09_40_p,0.086197561,0.10 ,3.88 ,4.28 ,91.74 
06_09_46_p,0.081510834,0.13 ,3.94 ,3.76 ,92.18 
06_09_52_p,0.077921107,0.07 ,3.91 ,3.50 ,92.53 
06_09_58_p,0.075860315,0.14 ,3.47 ,3.76 ,92.64 
06_10_04_p,0.076994804,0.03 ,3.61 ,3.78 ,92.58 
06_10_10_p,0.077628636,0.08 ,3.45 ,3.93 ,92.53 
06_10_16_p,0.073183758,0.11 ,3.03 ,3.81 ,93.04 
06_10_22_p,0.075888868,0.09 ,3.31 ,3.94 ,92.65 
06_10_28_p,0.071125127,0.13 ,3.21 ,3.56 ,93.11 
06_10_34_p,0.070456284,0.08 ,3.02 ,3.65 ,93.25 
06_10_40_p,0.069458132,0.09 ,2.97 ,3.60 ,93.34 
06_10_46_p,0.070322301,0.06 ,3.25 ,3.48 ,93.21 
06_10_52_p,0.069133524,0.08 ,2.80 ,3.89 ,93.23 
06_10_58_p,0.065817898,0.05 ,2.68 ,3.65 ,93.63 
06_11_04_p,0.060779498,0.05 ,2.40 ,3.36 ,94.19 
06_11_10_p,0.061462452,0.03 ,2.39 ,3.47 ,94.10 
06_11_16_p,0.061367773,0.07 ,2.37 ,3.48 ,94.09 
06_11_22_p,0.058980666,0.08 ,2.14 ,3.45 ,94.32 
06_11_28_p,0.058231196,0.07 ,2.27 ,3.29 ,94.38 
06_11_34_p,0.059108529,0.07 ,2.28 ,3.34 ,94.31 
06_11_40_p,0.059594933,0.08 ,2.36 ,3.36 ,94.20 
06_11_46_p,0.05780505,0.06 ,2.02 ,3.49 ,94.44 
06_11_52_p,0.055755251,0.06 ,1.94 ,3.32 ,94.69 
06_11_58_p,0.053974884,0.02 ,2.10 ,3.02 ,94.86 
06_12_04_p,0.049121784,0.03 ,2.02 ,2.67 ,95.28 
06_12_10_p,0.043866798,0.06 ,1.57 ,2.55 ,95.82 
06_12_16_p,0.042273933,0.05 ,1.81 ,2.28 ,95.86 
06_12_22_p,0.042346445,0.00 ,1.96 ,2.18 ,95.86 
06_12_28_p,0.044532485,0.03 ,1.90 ,2.34 ,95.72 
06_12_34_p,0.047399215,0.01 ,2.21 ,2.30 ,95.48 
06_12_40_p,0.052542206,0.03 ,2.12 ,2.87 ,94.98 
06_12_46_p,0.051125347,0.05 ,1.99 ,2.89 ,95.07 
06_12_52_p,0.05569092,0.06 ,2.02 ,3.25 ,94.68 
06_12_58_p,0.059279133,0.02 ,1.98 ,3.65 ,94.34 
06_13_04_p,0.061657735,0.01 ,2.04 ,3.87 ,94.07 
06_13_10_p,0.062593904,0.05 ,2.29 ,3.68 ,93.99 
06_13_16_p,0.068573025,0.05 ,2.87 ,3.69 ,93.39 
06_13_22_p,0.07306717,0.09 ,2.76 ,4.18 ,92.97 
06_13_28_p,0.077431772,0.09 ,3.23 ,4.15 ,92.53 
